ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60636,30,07/19/2020,07/25/2020,36,882,112,2738.9,301,4573,935,14200.5,0.1,0.2,1,52,3.1,161.5,32203,60636-30,POINT (-87.668597 41.77599)
60636,36,08/30/2020,09/05/2020,27,1039,84,3226.4,255,6149,792,19094.5,0.1,0.2,1,55,3.1,170.8,32203,60636-36,POINT (-87.668597 41.77599)
60636,37,09/06/2020,09/12/2020,15,1054,47,3273,231,6380,717,19811.8,0.1,0.2,1,56,3.1,173.9,32203,60636-37,POINT (-87.668597 41.77599)
60636,39,09/20/2020,09/26/2020,19,1095,59,3400.3,192,6744,596,20942.1,0.1,0.2,1,57,3.1,177.0,32203,60636-39,POINT (-87.668597 41.77599)
60636,40,09/27/2020,10/03/2020,24,1119,74,3474.8,268,7012,832,21774.4,0.1,0.2,0,57,0.0,177.0,32203,60636-40,POINT (-87.668597 41.77599)
60636,41,10/04/2020,10/10/2020,31,1150,96,3571.1,250,7262,776,22550.7,0.1,0.2,1,58,3.1,180.1,32203,60636-41,POINT (-87.668597 41.77599)
60636,42,10/11/2020,10/17/2020,51,1201,158,3729.5,283,7545,879,23429.5,0.2,0.2,0,58,0.0,180.1,32203,60636-42,POINT (-87.668597 41.77599)
60637,15,04/05/2020,04/11/2020,61,176,128,370.9,183,633,386,1333.9,0.3,0.3,2,4,4.2,8.4,47454,60637-15,POINT (-87.604053 41.780991)
60637,16,04/12/2020,04/18/2020,56,232,118,488.9,214,847,451,1784.9,0.3,0.3,4,8,8.4,16.9,47454,60637-16,POINT (-87.604053 41.780991)
60637,17,04/19/2020,04/25/2020,75,307,158,646.9,497,1344,1047,2832.2,0.2,0.2,5,13,10.5,27.4,47454,60637-17,POINT (-87.604053 41.780991)
60631,32,08/02/2020,08/08/2020,41,489,139,1656,351,5357,1189,18141.5,0.1,0.1,0,42,0.0,142.2,29529,60631-32,POINT (-87.813371 41.995019)
60631,33,08/09/2020,08/15/2020,27,516,91,1747.4,374,5731,1267,19408,0.1,0.1,0,42,0.0,142.2,29529,60631-33,POINT (-87.813371 41.995019)
60631,34,08/16/2020,08/22/2020,19,535,64,1811.8,306,6037,1036,20444.3,0.1,0.1,0,42,0.0,142.2,29529,60631-34,POINT (-87.813371 41.995019)
60637,18,04/26/2020,05/02/2020,51,358,108,754.4,357,1701,752,3584.5,0.1,0.2,1,14,2.1,29.5,47454,60637-18,POINT (-87.604053 41.780991)
60632,12,03/15/2020,03/21/2020,4,7,4,7.7,57,64,63,70.3,0.1,0.1,0,0,0.0,0.0,91039,60632-12,POINT (-87.711251 41.810038)
60637,19,05/03/2020,05/09/2020,55,413,116,870.3,441,2142,929,4513.8,0.1,0.2,0,14,0.0,29.5,47454,60637-19,POINT (-87.604053 41.780991)
60637,20,05/10/2020,05/16/2020,77,490,162,1032.6,480,2622,1012,5525.4,0.2,0.2,2,16,4.2,33.7,47454,60637-20,POINT (-87.604053 41.780991)
60637,21,05/17/2020,05/23/2020,56,546,118,1150.6,502,3124,1058,6583.2,0.1,0.2,0,16,0.0,33.7,47454,60637-21,POINT (-87.604053 41.780991)
60637,22,05/24/2020,05/30/2020,34,580,72,1222.2,443,3567,934,7516.8,0.1,0.2,3,19,6.3,40.0,47454,60637-22,POINT (-87.604053 41.780991)
60637,26,06/21/2020,06/27/2020,14,641,30,1350.8,462,5120,974,10789.4,0.0,0.1,1,24,2.1,50.6,47454,60637-26,POINT (-87.604053 41.780991)
60637,27,06/28/2020,07/04/2020,16,657,34,1384.5,408,5528,860,11649.2,0.0,0.1,1,25,2.1,52.7,47454,60637-27,POINT (-87.604053 41.780991)
60637,28,07/05/2020,07/11/2020,33,690,70,1454,507,6035,1068,12717.6,0.1,0.1,0,25,0.0,52.7,47454,60637-28,POINT (-87.604053 41.780991)
60637,29,07/12/2020,07/18/2020,21,711,44,1498.3,537,6572,1132,13849.2,0.0,0.1,0,25,0.0,52.7,47454,60637-29,POINT (-87.604053 41.780991)
60632,13,03/22/2020,03/28/2020,27,34,30,37.3,107,171,118,187.8,0.3,0.2,1,1,1.1,1.1,91039,60632-13,POINT (-87.711251 41.810038)
60637,30,07/19/2020,07/25/2020,20,731,42,1540.4,430,7002,906,14755.3,0.0,0.1,0,25,0.0,52.7,47454,60637-30,POINT (-87.604053 41.780991)
60637,31,07/26/2020,08/01/2020,21,752,44,1584.7,419,7421,883,15638.3,0.0,0.1,1,26,2.1,54.8,47454,60637-31,POINT (-87.604053 41.780991)
60637,36,08/30/2020,09/05/2020,17,862,36,1816.5,348,9498,733,20015.2,0.0,0.1,1,27,2.1,56.9,47454,60637-36,POINT (-87.604053 41.780991)
60660,13,03/22/2020,03/28/2020,19,35,44,80.9,87,150,201,346.9,0.2,0.2,0,0,0.0,0.0,43242,60660-13,POINT (-87.666362 41.991062)
60637,37,09/06/2020,09/12/2020,12,874,25,1841.8,344,9842,725,20740.1,0.0,0.1,0,27,0.0,56.9,47454,60637-37,POINT (-87.604053 41.780991)
60637,38,09/13/2020,09/19/2020,21,895,44,1886,387,10229,816,21555.6,0.1,0.1,0,27,0.0,56.9,47454,60637-38,POINT (-87.604053 41.780991)
60660,14,03/29/2020,04/04/2020,28,63,65,145.7,84,234,194,541.1,0.3,0.3,1,1,2.3,2.3,43242,60660-14,POINT (-87.666362 41.991062)
60637,39,09/20/2020,09/26/2020,32,927,67,1953.5,2438,12667,5138,26693.2,0.0,0.1,0,27,0.0,56.9,47454,60637-39,POINT (-87.604053 41.780991)
60632,14,03/29/2020,04/04/2020,56,90,62,98.9,120,291,132,319.6,0.5,0.3,1,2,1.1,2.2,91039,60632-14,POINT (-87.711251 41.810038)
60637,40,09/27/2020,10/03/2020,30,957,63,2016.7,1235,13902,2602,29295.7,0.0,0.1,0,27,0.0,56.9,47454,60637-40,POINT (-87.604053 41.780991)
60637,41,10/04/2020,10/10/2020,33,990,70,2086.2,548,14450,1155,30450.5,0.1,0.1,0,27,0.0,56.9,47454,60637-41,POINT (-87.604053 41.780991)
